StoryID	SeriesID	Title	Theme	ThemeLevel	ThemeID	Comment	RelatedCharacters	CharacterClass	RelatedAliens	NamedThing
TOS1x01	TOS	Where No Man Has Gone Before	wrath	minor	56	Gary	Gary Mitchell	individual		
TOS1x01	TOS	Where No Man Has Gone Before	pride	minor	73	Gary	Gary Mitchell	individual		
TOS1x02	TOS	The Corbomite Maneuver	cracking under pressure	choice	784	Bailey in confrontation with Balok; especially during Sulu's countdown	Dave Bailey	individual		
TOS1x02	TOS	The Corbomite Maneuver	facing an overpowering adversary	choice	258	crew at Balok				
TOS1x02	TOS	The Corbomite Maneuver	diplomatic maneuvering	major	306	Balok and Kirk with their tactics				
TOS1x02	TOS	The Corbomite Maneuver	appearances can be deceiving	major	750	all-powerful Balok had the body of a todder				
TOS1x02	TOS	The Corbomite Maneuver	alien with the body of a toddler	major	1034	Balok			First Federation	
TOS1x02	TOS	The Corbomite Maneuver	military bluffing	major	866	Kirk to Balok in the spirit of poker				
TOS1x02	TOS	The Corbomite Maneuver	facing a mortal enemy	major	91	crew face Balok				
TOS1x02	TOS	The Corbomite Maneuver	charting unknown territory	minor	301	Kirk decided to press on to contact the aliens who made the space buoy				
TOS1x02	TOS	The Corbomite Maneuver	second guessing one's self	minor	150	Kirk about his promotion of Bailey	James T. Kirk	individual		
TOS1x02	TOS	The Corbomite Maneuver	the thirst for knowledge	minor	158	Spock about the aliens appearance	Spock	individual		
TOS1x02	TOS	The Corbomite Maneuver	the qualities of a good leader	minor	165	McCoy and Kirk discuss in light of Kirk's handling of Bailey	James T. Kirk	individual		
TOS1x02	TOS	The Corbomite Maneuver	freezing up in a critical moment	minor	827	Bailey at phaser control	Dave Bailey	individual		
TOS1x02	TOS	The Corbomite Maneuver	clash of wills	minor	93	Kirk and McCoy	Kirk/McCoy	dyad		
TOS1x02	TOS	The Corbomite Maneuver	working together under stress	minor	317	crew under threat from Balok				
TOS1x02	TOS	The Corbomite Maneuver	cultural exchange	minor	621	Bailey volunteers to stay aboard with Balok	Dave Bailey	individual		
TOS1x02	TOS	The Corbomite Maneuver	loyalty to a leader	minor	121	Bailey to Kirk	Dave Bailey	individual		
TOS1x02	TOS	The Corbomite Maneuver	desperation	minor	102	crew when seems Balok will destroy the Enterprise				
TOS1x02	TOS	The Corbomite Maneuver	leadership	minor	132	Kirk in getting out of the crisis	James T. Kirk	individual		
TOS1x02	TOS	The Corbomite Maneuver	magnanimity in victory	minor	272	Kirk to Balok	James T. Kirk	individual		
TOS1x02	TOS	The Corbomite Maneuver	apprehension	minor	87	crew over tensions with Balok				
TOS1x02	TOS	The Corbomite Maneuver	boredom	minor	212	Bailey complains they have been star-mapping for three days	Dave Bailey	individual		
TOS1x02	TOS	The Corbomite Maneuver	distraction	minor	148	Bailey thrice distracted from his duties	Dave Bailey	individual		
TOS1x02	TOS	The Corbomite Maneuver	fear	minor	139	crew of impending destruction				
TOS1x02	TOS	The Corbomite Maneuver	hospitality	minor	104	Balok offers Tranya hospitality	Balok	individual		
TOS1x02	TOS	The Corbomite Maneuver	interest	minor	95	Kirk presses on to contact new civilization; Spock to see what Balok looks like	James T. Kirk, Spock	individual		
TOS1x02	TOS	The Corbomite Maneuver	kindness	minor	81	Balok rescued by Kirk	James T. Kirk	individual		
TOS1x02	TOS	The Corbomite Maneuver	rage	minor	92	Bailey	Dave Bailey	individual		
TOS1x02	TOS	The Corbomite Maneuver	terror	minor	151	Bailey	Dave Bailey	individual		
TOS1x02	TOS	The Corbomite Maneuver	wrath	minor	56	Bailey outburst	Dave Bailey	individual		
TOS1x03	TOS	Mudd's Women	self-confidence	choice	217	Mudd's women	Mudd's women [Eve McHuron,  Magda Kovacs, Ruth Bonadventure]			
TOS1x03	TOS	Mudd's Women	what women want	choice	366	Mudd's women want good husbands				
TOS1x03	TOS	Mudd's Women	true beauty comes from within	choice	1472	Eve's beauty was a result of her own self-confidence				
TOS1x03	TOS	Mudd's Women	performance enhancing drugs	major	1288	the Venus drug				
TOS1x03	TOS	Mudd's Women	just be yourself	major	1215	the drugs				
TOS1x03	TOS	Mudd's Women	the qualities of a good wife	major	958	Eve and Ben bickered about them	Eve McHuron	individual		
TOS1x03	TOS	Mudd's Women	the placebo effect	major	1445	the Venus drug turned out to be a placebo				
TOS1x03	TOS	Mudd's Women	desire vs. conscience	major	412	Mudd's women at taking Venus drug				
TOS1x03	TOS	Mudd's Women	anti-aging technology	major	318	Venus drug				
TOS1x03	TOS	Mudd's Women	mail-order brides	major	1239	Mudd's women				
TOS1x03	TOS	Mudd's Women	self-image	major	392	Mudd's women took the drug to look young again	Eve McHuron,  Magda Kovacs, Ruth Bonadventure	individual		
TOS1x03	TOS	Mudd's Women	female vanity	major	532	Mudd's women	Eve McHuron,  Magda Kovacs, Ruth Bonadventure	individual		
TOS1x03	TOS	Mudd's Women	the desire to be beautiful	major	944	Mudd's women	Eve McHuron,  Magda Kovacs, Ruth Bonadventure	individual		
TOS1x03	TOS	Mudd's Women	lust	major	69	the crew and miners at Mudd's women	Ben Childress	individual		
TOS1x03	TOS	Mudd's Women	what if I was really beautiful	major	1508	Mudd's women	Eve McHuron,  Magda Kovacs, Ruth Bonadventure	individual		
TOS1x03	TOS	Mudd's Women	avarice	major	128	Mudd	Harry Mudd	individual		
TOS1x03	TOS	Mudd's Women	the lust for gold	major	163	Mudd	Harry Mudd	individual		
TOS1x03	TOS	Mudd's Women	vanity	major	297	Mudd's women	Eve McHuron,  Magda Kovacs, Ruth Bonadventure	individual		
TOS1x03	TOS	Mudd's Women	resisting a temptation	minor	290	Mudd's women at taking Venus drug	Eve McHuron,  Magda Kovacs, Ruth Bonadventure	individual		
TOS1x03	TOS	Mudd's Women	matrimonial love	minor	383	Eve and Childress	Eve McHuron, Ben Childress	individual		
TOS1x03	TOS	Mudd's Women	searchable electronic database	minor	915	command crew looked up Mudd's criminal record on such a database				
TOS1x03	TOS	Mudd's Women	loneliness	minor	197	Eve and Ben	Eve McHuron, Ben Childress	individual		
TOS1x03	TOS	Mudd's Women	integrity	minor	193	Eve	Eve McHuron	individual		
TOS1x03	TOS	Mudd's Women	prickliness	minor	683	Childress	Ben Childress	individual		
TOS1x03	TOS	Mudd's Women	asteroid belt	minor	751	Enterprise chased Mudd through an asteroid belt				
TOS1x03	TOS	Mudd's Women	fiancée and fiancée	minor	348	miner and Eve	Ben Childress/Eve McHuron	dyad		
TOS1x03	TOS	Mudd's Women	quacksalvery	minor	902	Mudd peddling Venus drug	Harry Mudd	individual		
TOS1x03	TOS	Mudd's Women	coping with time passing you by	minor	518	Mudd's women	Eve McHuron,  Magda Kovacs, Ruth Bonadventure	individual		
TOS1x03	TOS	Mudd's Women	mental illness	minor	472	Mudd was accused of having one	Harry Mudd	individual		
TOS1x03	TOS	Mudd's Women	acceptance	minor	204	Childress and Eve of one another	Eve McHuron, Ben Childress	individual		
TOS1x03	TOS	Mudd's Women	anger	minor	86	miners	Ben Childress	individual		
TOS1x03	TOS	Mudd's Women	ecstasy	minor	177	miners over Mudd's women	Ben Childress	individual		
TOS1x03	TOS	Mudd's Women	jealousy	minor	112	miners over Mudd's women	Ben Childress	individual		
TOS1x04	TOS	The Enemy Within	the nature of good and evil	choice	396	Good Kirk vs. Evil Kirk				
TOS1x04	TOS	The Enemy Within	we need our darker emotions in moderation	choice	1488	Kirk needed his darker emotions to some extent to be an effective captain				
TOS1x04	TOS	The Enemy Within	the qualities of a good leader	choice	165	need compassion with a touch of ruthlessness	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	personal identity	major	329	is good-Kirk any more the real Kirk than evil-Kirk?				
TOS1x04	TOS	The Enemy Within	facing one's darker side	major	811	good-Kirk at evil-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	self-confidence	major	217	good-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	fortitude	major	123	good-Kirk Sulu freezing on the plane	Good Kirk, Hikaru Sulu	individual		
TOS1x04	TOS	The Enemy Within	what if I met my double	major	442	good-Kirk at evil-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	the power of thought	major	295	Good Kirk pleads with Evil Kirk to go through the transporter together in the belief that it will work				
TOS1x04	TOS	The Enemy Within	leadership	major	132	how is Good Kirk to lead his crew without his darker side?	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	overcoming a limitation	major	427	good Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	wrath	major	56	evil-Kirk	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	rage	major	92	evil-Kirk	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	lust	minor	69	Evil Kirk at Janice	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	gluttony	minor	178	saurian brandy	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	the need to maintain an image	minor	954	Kirk as captain must	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	coping with the rigors of command	minor	342	Good Kirk stressed about commanding the ship in his condition	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	compassion	minor	80	Good Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	man vs. nature	minor	262	Sulu on the freezing planet	Hikaru Sulu	individual		
TOS1x04	TOS	The Enemy Within	coping with post-traumatic stress	minor	304	Janice	Janice Rand	individual		
TOS1x04	TOS	The Enemy Within	coping with opposing a friend	minor	455	senior staff at Kirk				
TOS1x04	TOS	The Enemy Within	teleportation device	minor	360	transporter malfunction basis for creation of Good Kirk and Evil Kirk				transporter
TOS1x04	TOS	The Enemy Within	coping with unwelcome romantic attention	minor	234	Janice	Janice Rand	individual		
TOS1x04	TOS	The Enemy Within	acceptance	minor	204	good-Kirk and evil-Kirk ultimately accepted one another	Good Kirk, Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	amazement	minor	205	good-Kirk meets evil-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	diligence	minor	89	good-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	disgust	minor	120	good-Kirk with evil-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	fear	minor	139	big deal made of evil-Kirks fears	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	hedonism	minor	168	evil-Kirk drunken escape	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	humility	minor	114	good-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	malevolence	minor	170	evil-Kirk	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	mercy	minor	198	good-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	patience	minor	103	good-Kirk	Good Kirk	individual		
TOS1x04	TOS	The Enemy Within	ruthlessness	minor	85	evil-Kirk	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	sloth	minor	162	evil-Kirk drunken escape	Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	terror	minor	151	Janice during attempted rape	Janice Rand	individual		
TOS1x04	TOS	The Enemy Within	trust in a potential foe	minor	174	good-Kirk and evil-Kirk ultimately trusted one another	Good Kirk, Evil Kirk	individual		
TOS1x04	TOS	The Enemy Within	vigilance	minor	71	evil-Kirk afoot				
TOS1x05	TOS	The Man Trap	nostalgic love	choice	356	McCoy to Nancy	Leonard McCoy	individual		
TOS1x05	TOS	The Man Trap	coping with memories of a lost love	choice	616	McCoy over Nancy	Leonard McCoy	individual		
TOS1x05	TOS	The Man Trap	old flames	choice	273	McCoy and Nancy	McCoy/Nancy Crater	dyad		
TOS1x05	TOS	The Man Trap	lamentation over a lost love	major	846	McCoy at Nancy	Leonard McCoy	individual		
TOS1x05	TOS	The Man Trap	shapeshifter	major	564	salt monster			Salt Vampires of Planet M-113	
TOS1x05	TOS	The Man Trap	endangered species	major	633	Kirk mentions how the buffalo went extinct much like the salt creature			Salt Vampires of Planet M-113	
TOS1x05	TOS	The Man Trap	forbidden love	major	308	Robert at salt monster	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	husband and wife	major	149	Robert and Nancy	Robert Crater/Nancy Crater	dyad		
TOS1x05	TOS	The Man Trap	the need for companionship	major	362	Robert with the salt monster	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	depletion of a vital natural resource	major	1124	salt			Salt Vampires of Planet M-113	
TOS1x05	TOS	The Man Trap	sentient rights	major	695	the salt vampire’s right to exist			Salt Vampires of Planet M-113	
TOS1x05	TOS	The Man Trap	coping with the death of a friend	minor	176	Spock's lack of a reaction to crewmans death	Spock	individual		
TOS1x05	TOS	The Man Trap	reclusiveness	minor	289	Robert	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	the art of flattery	minor	939	Uhuru/Spock about Vulcan having no moon	Uhura, Spock	individual		
TOS1x05	TOS	The Man Trap	survival of one's species	minor	485	salt monster	Nancy Crater	individual		
TOS1x05	TOS	The Man Trap	desperation	minor	102	salt monster	Nancy Crater	individual		
TOS1x05	TOS	The Man Trap	prickliness	minor	683	Robert	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	love triangle	minor	260	Mccoy/Nancy Crate/ Robert Crater	Mccoy/Nancy Crate/ Robert Crater	triad		
TOS1x05	TOS	The Man Trap	archaeology	minor	447	Robert excavating salt monster ruins	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	passion for archaeology	minor	387	Robert	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	Sophie's choice	minor	367	McCoy w.r.t. shooting salt monster or letting it kill Kirk	Leonard McCoy	individual		
TOS1x05	TOS	The Man Trap	the ethics of valuing human lives	minor	145	McCoy w.r.t. shooting salt monster or letting it kill Kirk	Leonard McCoy	individual		
TOS1x05	TOS	The Man Trap	anger	minor	86	Robert	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	annoyance	minor	57	Robert at McCoy during medical exam	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	grief	minor	63	Robert for Nancy	Robert Crater	individual		
TOS1x05	TOS	The Man Trap	vigilance	minor	71	creature afoot				
TOS1x06	TOS	The Naked Time	loss of inhibition	choice	251	everyone under the influence of polywater	James T. Kirk, Kevin Riley, Spock, Leonard McCoy, Montgomery Scott, Hikaru Sulu, Joe Tormalen, Janice Rand, Montgomery Scott	individual		
TOS1x06	TOS	The Naked Time	what if everyone did whatever they wanted	choice	993	everyone under the influence of polywater	James T. Kirk, Kevin Riley, Spock, Leonard McCoy, Montgomery Scott, Hikaru Sulu, Joe Tormalen, Janice Rand, Montgomery Scott	individual		
TOS1x06	TOS	The Naked Time	hedonism	choice	168	entire crew down to the last man	James T. Kirk, Kevin Riley, Spock, Leonard McCoy, Montgomery Scott, Hikaru Sulu, Joe Tormalen, Janice Rand, Montgomery Scott	individual		
TOS1x06	TOS	The Naked Time	intoxication	major	843	entire crew down to the last man	James T. Kirk, Kevin Riley, Spock, Leonard McCoy, Montgomery Scott, Hikaru Sulu, Joe Tormalen, Janice Rand, Montgomery Scott	individual		
TOS1x06	TOS	The Naked Time	facing a pandemic	major	639	crew vs. polywater intoxication				
TOS1x06	TOS	The Naked Time	complacency	major	322	nobody stops ship from spiraling into planet	Kevin Riley	individual		
TOS1x06	TOS	The Naked Time	sloth	major	162	entire crew down to the last man	James T. Kirk, Kevin Riley, Spock, Leonard McCoy, Montgomery Scott, Hikaru Sulu, Joe Tormalen, Janice Rand, Montgomery Scott	individual		
TOS1x06	TOS	The Naked Time	coping with the rigors of command	minor	342	Kirk	James T. Kirk	individual		
TOS1x06	TOS	The Naked Time	risk taking vs. playing it safe	minor	157	Scotty and Spock over how to save ship	Montgomery Scott, Spock	individual		
TOS1x06	TOS	The Naked Time	pleasure in taking exercise	minor	1303	Sulu with sword fighting	Hikaru Sulu	individual		
TOS1x06	TOS	The Naked Time	disillusionment	minor	626	Tormalen	Joe Tormolen	individual		
TOS1x06	TOS	The Naked Time	despair	minor	522	Tormalen	Joe Tormolen	individual		
TOS1x06	TOS	The Naked Time	selfless service	minor	186	Kirk for starfleet	James T. Kirk	individual		
TOS1x06	TOS	The Naked Time	coping with the death of a fellow compatriot	minor	517	Tormalen	Joe Tormolen	individual		
TOS1x06	TOS	The Naked Time	unrequited love	minor	122	Christine at Spock	Christine Chapel	individual		
TOS1x06	TOS	The Naked Time	delusion of grandeur	minor	1123	Riley	Kevin Riley	individual		
TOS1x06	TOS	The Naked Time	working together under stress	minor	317	bridge crew to get Riley out of engineering				
TOS1x06	TOS	The Naked Time	ingenuity	minor	250	Scotty with the cold-restart	Montgomery Scott	individual		
TOS1x06	TOS	The Naked Time	shame	minor	358	Spock expressed shame to Kirk about being unable to express feelings toward his mother	Spock	individual		
TOS1x06	TOS	The Naked Time	captain and crew's attachment to their ship	minor	321	Kirkologue about it	James T. Kirk	individual		
TOS1x06	TOS	The Naked Time	desperation	minor	102	the command crew to save the ship				
TOS1x06	TOS	The Naked Time	coping with unwelcome romantic attention	minor	234	Spock from Christine	Spock	individual		
TOS1x06	TOS	The Naked Time	joy	minor	140	Christine and Spock; Sulu about fencing; Riley with Irish stuff	Christine Chapel, Spock, Hikaru Sulu, Kevin Riley	individual		
TOS1x06	TOS	The Naked Time	rage	minor	92	Tormolen loses it in recroom	Joe Tormolen	individual		
TOS1x06	TOS	The Naked Time	terror	minor	151	space madness				
TOS1x06	TOS	The Naked Time	wrath	minor	56	Tormolen and other outbursts	Joe Tormolen	individual		
TOS1x07	TOS	Charlie X	what if I had magical powers	choice	336	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	power corrupts	choice	388	superpowers turns Charlie into spoiled brat	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	coping with a spoiled brat	choice	513	Kirk with Charlie	James T. Kirk	individual		
TOS1x07	TOS	Charlie X	orphanhood	choice	476	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	spoiled brat	major	570	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	the nature of children	major	278	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	first crush	major	646	Charlie on Janice	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	role models	major	253	Kirk for Charlie	James T. Kirk	individual		
TOS1x07	TOS	Charlie X	clash of wills	major	93	Kirk/Charlie	Kirk/Charlie Evans	dyad		
TOS1x07	TOS	Charlie X	coping with rejection	major	269	Charlie by enslaving mankind	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	belonging	major	136	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	guardian and child	major	537	Kirk/Charlie	Kirk/Charlie Evans	dyad		
TOS1x07	TOS	Charlie X	the need to be treated with respect	major	398	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	abuse of real power	major	444	Charlie snapped a guy out of exietence	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	unrequited love	major	122	Charlie at Janice	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	adolescence	major	180	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	loathing	major	161	Charlie for adults not indulging him	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	facing an overpowering adversary	major	258	crew vs. Charlie				
TOS1x07	TOS	Charlie X	standing up to a bully	minor	332	Kirk stands up to Charlie	James T. Kirk	individual		
TOS1x07	TOS	Charlie X	alien point of view	minor	105	Charlie is baffled by doors and women etc.	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	incorporeal alien	minor	259	Thasians			Thasian	
TOS1x07	TOS	Charlie X	child's point of view	minor	280	Charlie X	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	social awkwardness	minor	569	Charlie learns	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	tough love	minor	729	Kirk with Charlie	James T. Kirk	individual		
TOS1x07	TOS	Charlie X	rudeness	minor	908	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	discipline of a child	minor	625	Kirk to Charlie	James T. Kirk	individual		
TOS1x07	TOS	Charlie X	childishness	minor	450	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	lesson in humility	minor	153	Charlie by Kirk	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	the desire for vengeance	minor	119	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	alien overseers	minor	338	Thasians			Thasian	
TOS1x07	TOS	Charlie X	coping with unwelcome romantic attention	minor	234	Janice from Charlie	Janice Rand	individual		
TOS1x07	TOS	Charlie X	pride	minor	73	Charlie	Charlie Evans	individual		
TOS1x07	TOS	Charlie X	compassion	minor	80	all to Charlie; especially Janice	Janice Rand	individual		
TOS1x07	TOS	Charlie X	cruelty	minor	111	Charlie	Charlie Evans	individual		
